drone_id,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3,des_pos_x,des_pos_y,des_pos_z,des_vel_x,des_vel_y,des_vel_z,des_roll,des_pitch,des_yaw,u_m1,u_m2,u_m3,u_m4
0,3.875,0.7455635910575081,0.7456184300506925,0.9649616963459106,0.262130123984259,0.262118438941076,0.05013511126545494,0.009024619210183755,-0.00901853544747958,-0.00015062806847401659,0.008834805637255333,-0.008834741006443542,-5.354690373350163e-05,14428.954970644667,14429.18839971508,14428.954804992522,14428.724407556816,1.0,1.0,1.0,0.0,0.0,0.0,0.017876482395983058,-0.017867266246708757,-0.000319420891916165,14429.717439399163,14429.953095057404,14429.717274947147,14429.485059530543
0,3.8958333333333335,0.7509979677506571,0.7510525540027136,0.9659916197850031,0.2599921842415212,0.25997975561632425,0.04897057291936522,0.009206396419906185,-0.009200249894257285,-0.00015338945620414012,0.008649514212847272,-0.00864955968917986,-5.2744611386045396e-05,14429.717439399163,14429.953095057404,14429.717274947147,14429.485059530543,1.0,1.0,1.0,0.0,0.0,0.0,0.017840820107545514,-0.017831738259952434,-0.00031814972039557153,14430.468635857196,14430.706408396687,14430.468472749093,14430.234537896515
0,3.9166666666666665,0.7563873801839396,0.7564416982644183,0.9669975560977414,0.2578204456906846,0.25780727841386614,0.04782795792289276,0.009384297076134258,-0.009378090143485642,-0.00015612971337134124,0.008462914987477591,-0.008463070242852934,-5.185555004792679e-05,14430.468635857196,14430.706408396687,14430.468472749093,14430.234537896515,1.0,1.0,1.0,0.0,0.0,0.0,0.01780029002419241,-0.017791349210467544,-0.0003167079087648787,14431.208632421141,14431.448412614773,14431.208470795744,14430.972914252285
0,3.9375,0.7617311344494062,0.761785169036444,0.9679799577426734,0.2556157275771853,0.25560182704701845,0.04670692422398765,0.009558294885710562,-0.009552029967815547,-0.00015884474551698145,0.008275087708417861,-0.008275352325431227,-5.088230926440925e-05,14431.208632421141,14431.448412614773,14431.208470795744,14430.972914252285,1.0,1.0,1.0,0.0,0.0,0.0,0.01775495257323887,-0.017746159295706,-0.00031509877964757023,14431.937505667982,14432.179184804034,14431.937345658946,14431.700264355815
0,3.9583333333333335,0.7670285537574434,0.7670822896473461,0.9689392700954189,0.25337885315928915,0.2533642252286619,0.04560713322086007,0.009728365209086454,-0.009722044792782493,-0.00016153055619225076,0.008086111560239183,-0.008086485033131176,-4.982754257114656e-05,14431.937505667982,14432.179184804034,14431.937345658946,14431.700264355815,1.0,1.0,1.0,0.0,0.0,0.0,0.017704869092405283,-0.017696229614321046,-0.00031332580557427193,14432.655336079319,14432.898805996763,14432.655177815035,14432.416667856058
0,3.9791666666666665,0.7722789785161076,0.7723324006326512,0.969875931521725,0.2511106493672595,0.25109530032997324,0.04452824985581761,0.009894485048521211,-0.009888111684772724,-0.0001641832505150334,0.007896065146216352,-0.007896546881963592,-4.869396265010574e-05,14432.655336079319,14432.898805996763,14432.655177815035,14432.416667856058,1.0,1.0,1.0,0.0,0.0,0.0,0.01765010179946057,-0.017641622136533863,-0.00031139260166710217,14433.362207780683,14433.607360903854,14433.362051384152,14433.122208032812
0,4.0,0.7774817664034027,0.7775348598068429,0.9707903734523701,0.248811946466043,0.24879588304271633,0.043469942700568344,0.010056633035898177,-0.010050209338612063,-0.00016679903851900865,0.00770502647019519,-0.007705615789755573,-4.748433650334666e-05,14433.362207780683,14433.607360903854,14433.362051384152,14433.122208032812,1.0,1.0,1.0,0.0,0.0,0.0,0.017590713761988824,-0.01758239967462405,-0.0003093029182969463,14434.058208289956,14434.304937662542,14434.058053878689,14433.816971545639
0,4.020833333333333,0.7826362924325754,0.7826890423283598,0.9716830204597412,0.2464835777215409,0.2464668070451639,0.042431884033296806,0.0102147894201672,-0.010208318064787447,-0.00016937423829515598,0.007513072918934066,-0.007513769058634467,-4.6201480681228626e-05,14434.058208289956,14434.304937662542,14434.058053878689,14433.816971545639,1.0,1.0,1.0,0.0,0.0,0.0,0.017526768867286213,-0.017518625853559566,-0.0003070606337234622,14434.743428274753,14434.991627593157,14434.743275960675,14434.50104819177
0,4.041666666666667,0.7877419490105028,0.7877943407576781,0.9725542903359187,0.2441263790705339,0.24410890867171434,0.0414137499078173,0.010368936054422736,-0.010362419776310932,-0.0001719052789259107,0.0073202812449060005,-0.007321083357972986,-4.4848256533838146e-05,14434.743428274753,14434.991627593157,14434.743275960675,14434.50104819177,1.0,1.0,1.0,0.0,0.0,0.0,0.017458331792394477,-0.0174503650817579,-0.0003046697467272985,14435.417961318446,14435.66752496448,14435.41781120784,14435.174530672626
0,4.0625,0.7927981459892499,0.7928501651085581,0.9734045941721057,0.24174118879432183,0.2417230265862665,0.040415220215099766,0.010519056382627024,-0.010512497975236132,-0.00017438870321247364,0.0071267275495777915,-0.007127634707787998,-4.342756551415457e-05,14435.417961318446,14435.66752496448,14435.41781120784,14435.174530672626,1.0,1.0,1.0,0.0,0.0,0.0,0.017385467974277605,-0.01737768252199312,-0.0003021343692439886,14436.081903694885,14436.332726767792,14436.081755888332,14435.837514368966
